0.0029987,00:00:00.2822004
0.0026236999999999996,00:00:00.0016796
4.9399999999999791E-05,00:00:00.0000425
7.5000000000005618E-06,00:00:00.0000073
5.999999999999929E-06,00:00:00.0000060
7.7999999999996475E-06,00:00:00.0000079
5.6999999999999759E-06,00:00:00.0000056
5.6999999999999759E-06,00:00:00.0000058
7.8000000000005149E-06,00:00:00.0000078
5.5999999999997024E-06,00:00:00.0000055
6.1000000000002025E-06,00:00:00.0000061
3.599999999999437E-06,00:00:00.0000036
4.4000000000007575E-06,00:00:00.0000044
3.5000000000000309E-06,00:00:00.0000035
3.4999999999991635E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.4000000000006247E-06,00:00:00.0000035
3.599999999999437E-06,00:00:00.0000035
3.7000000000005778E-06,00:00:00.0000038
3.5000000000000309E-06,00:00:00.0000035
3.599999999999437E-06,00:00:00.0000035
3.4000000000006247E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.4999999999991635E-06,00:00:00.0000035
4.0000000000005309E-06,00:00:00.0000041
3.6000000000003043E-06,00:00:00.0000035
3.4999999999991635E-06,00:00:00.0000035
3.4000000000006247E-06,00:00:00.0000034
3.3999999999997574E-06,00:00:00.0000034
3.3000000000003513E-06,00:00:00.0000034
4.6999999999998432E-06,00:00:00.0000046
3.3999999999997574E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000033
3.4000000000006247E-06,00:00:00.0000034
3.3999999999997574E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000033
3.3000000000003513E-06,00:00:00.0000034
4.2000000000002105E-06,00:00:00.0000042
1.2999999999999991E-05,00:00:00.0000130
3.5000000000000309E-06,00:00:00.0000034
3.2999999999994839E-06,00:00:00.0000033
3.3999999999997574E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000036
3.5000000000000309E-06,00:00:00.0000035
4.3999999999998901E-06,00:00:00.0000043
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.4000000000006247E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.8999999999993901E-06,00:00:00.0000038
3.4000000000006247E-06,00:00:00.0000035
3.599999999999437E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000035
3.4000000000006247E-06,00:00:00.0000036
3.6999999999997105E-06,00:00:00.0000035
3.9000000000002574E-06,00:00:00.0000039
3.5000000000000309E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000053
5.2999999999997494E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000034
1.6400000000000615E-05,00:00:00.0000165
3.5000000000000309E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.8999999999993901E-06,00:00:00.0000039
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.6000000000003043E-06,00:00:00.0000036
3.3999999999997574E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
4.099999999999937E-06,00:00:00.0000040
3.3999999999997574E-06,00:00:00.0000035
3.6000000000003043E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.3999999999997574E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000035
7.5000000000005618E-06,00:00:00.0000076
3.599999999999437E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.5000000000000309E-06,00:00:00.0000035
3.9000000000002574E-06,00:00:00.0000039
3.5000000000000309E-06,00:00:00.0000036
3.5000000000000309E-06,00:00:00.0000034
3.5000000000000309E-06,00:00:00.0000036
6.0999999999993351E-06,00:00:00.0000060
3.5000000000000309E-06,00:00:00.0000036
3.6000000000003043E-06,00:00:00.0000035
4.6999999999998432E-06,00:00:00.0000047
3.5000000000000309E-06,00:00:00.0000036
3.5000000000000309E-06,00:00:00.0000035
3.7999999999999839E-06,00:00:00.0000037
3.7999999999999839E-06,00:00:00.0000038
3.7000000000005778E-06,00:00:00.0000038
3.7999999999999839E-06,00:00:00.0000037
4.2999999999996166E-06,00:00:00.0000043
3.7999999999999839E-06,00:00:00.0000038
3.6999999999997105E-06,00:00:00.0000037
3.7000000000005778E-06,00:00:00.0000038
3.8999999999993901E-06,00:00:00.0000038
3.7000000000005778E-06,00:00:00.0000038
3.7999999999999839E-06,00:00:00.0000037
4.1999999999993431E-06,00:00:00.0000042
3.7000000000005778E-06,00:00:00.0000037
3.6999999999997105E-06,00:00:00.0000038
3.6999999999997105E-06,00:00:00.0000037
3.7999999999999839E-06,00:00:00.0000037
3.7000000000005778E-06,00:00:00.0000038
3.6999999999997105E-06,00:00:00.0000037
4.2000000000002105E-06,00:00:00.0000042
3.7999999999999839E-06,00:00:00.0000038
3.7999999999999839E-06,00:00:00.0000038
3.7999999999999839E-06,00:00:00.0000037
